name,drugbank_id,canonical_smiles,inchikey,formula,molecular_weight,formal_charge,provenance_source
Temozolomide,DB00853,Cn1nnc2c(C(N)=O)ncn2c1=O,BPEGJWRSRHCHSN-UHFFFAOYSA-N,C6H6N6O2,194.154,0,https://go.drugbank.com/drugs/DB00853
Lomustine,DB01202,O=NN(CCCl)C(=O)NC1CCCCC1,GQYIWUVLTXOXAJ-UHFFFAOYSA-N,C9H16ClN3O2,233.699,0,https://go.drugbank.com/drugs/DB01202
Carmustine,DB00262,O=NN(CCCl)C(=O)NCCCl,DLGOEMSEDOSKAD-UHFFFAOYSA-N,C5H9Cl2N3O2,214.052,0,https://go.drugbank.com/drugs/DB00262
Nimustine,DB04838,Cc1ncc(CN)c(CNC(=O)N(CCCl)N=O)n1,FYVYSTYYVHTZGJ-UHFFFAOYSA-N,C10H15ClN6O2,286.723,0,https://go.drugbank.com/drugs/DB04838
Procarbazine,DB01168,CNNCc1ccc(C(=O)NC(C)C)cc1,CPTBDICYNRMXFX-UHFFFAOYSA-N,C12H19N3O,221.304,0,https://go.drugbank.com/drugs/DB01168
Osimertinib,DB09330,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,DUYJMQONPNNFPI-UHFFFAOYSA-N,C28H33N7O2,499.619,0,https://go.drugbank.com/drugs/DB09330
Gefitinib,DB00317,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,XGALLCVXEZPNRQ-UHFFFAOYSA-N,C22H24ClFN4O3,446.91,0,https://go.drugbank.com/drugs/DB00317
Erlotinib,DB00530,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,C22H23N3O4,393.443,0,https://go.drugbank.com/drugs/DB00530
Lapatinib,DB01259,CS(=O)(=O)CCNCc1ccc(C2=CC=C(Nc3ccc(OCc4cccc(F)c4Cl)c(Cl)c3)N=CN=C2)o1,RHVVCXJGIRJUMV-UHFFFAOYSA-N,C27H25Cl2FN4O4S,591.492,0,https://go.drugbank.com/drugs/DB01259
Afatinib,DB08907,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,ULXXDDBFHOBEHA-CWDCEQMOSA-N,C24H25ClFN5O3,485.947,0,https://go.drugbank.com/drugs/DB08907
Dacomitinib,DB11963,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,LVXJQMNHJWSHET-AATRIKPKSA-N,C24H25ClFN5O2,469.948,0,https://go.drugbank.com/drugs/DB11963
Brigatinib,DB12457,COc1cc(Nc2ncc(Cl)c(Nc3ccccc3P(C)(C)=O)n2)ccc1N1CCN(C)CC1,LWYDRQFUASNEOP-UHFFFAOYSA-N,C24H30ClN6O2P,500.971,0,https://go.drugbank.com/drugs/DB12457
Regorafenib,DB08896,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,FNHKPVJBJVTLMP-UHFFFAOYSA-N,C21H15ClF4N4O3,482.821,0,https://go.drugbank.com/drugs/DB08896
Sorafenib,DB00398,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,MLDQJTXFUGDVEO-UHFFFAOYSA-N,C21H16ClF3N4O3,464.831,0,https://go.drugbank.com/drugs/DB00398
Sunitinib,DB01268,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,WINHZLLDWRZWRT-ATVHPVEESA-N,C22H27FN4O2,398.482,0,https://go.drugbank.com/drugs/DB01268
Cabozantinib,DB08875,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)c2cc1OC,CKRJSIFFXMHDSE-UHFFFAOYSA-N,C28H23F2N3O5,519.504,0,https://go.drugbank.com/drugs/DB08875
