name,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,E_HOMO,E_LUMO,Gap_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega,Real_Vina_Docking_Score_kcal_mol,Delta_E_ads_kcal_mol,Target_DeltaG_bind
Temozolomide,Alkylating Agent (Gold Standard),DB00853,NC(=O)C1=NN=NC2=C1N(C)C(=O)N2,194.154,-1.849,-0.553,54397.663,5,2,119.55,1,2,2,76.741,0.167,-4.553,-0.527,4.026,2.013,0.2484,2.54,-2.54,1.603,-3.712,-42.95446,-11.44563192
Lomustine,Nitrosourea Alkylator,DB01206,O=NN(CCCl)C(=O)NC1CCCCC1,233.699,2.251,-2.443,842.6671,3,1,61.77,4,1,0,94.092,0.889,-5.475,-1.305,4.17,2.085,0.2398,3.39,-3.39,2.756,-3.848,-37.14552,-11.279567039999998
Carmustine,Nitrosourea Alkylator,DB00262,O=NN(CCCl)C(=O)NCCCl,214.052,1.157,-1.566,5814.1588,3,1,61.77,5,0,0,79.942,0.8,-5.235,-1.108,4.126,2.063,0.2423,3.171,-3.171,2.437,-3.323,-36.29652,-10.71041904
Procarbazine,Hydrazine Alkylator,DB00720,CC(C)NC(=O)C1=CC=C(CNC)C=C1,206.289,1.544,-2.568,558.0147,2,2,41.13,4,1,1,90.882,0.417,-5.25,-1.358,3.892,1.946,0.257,3.304,-3.304,2.805,-4.059,-39.15292,-11.59495184
Irinotecan,Topoisomerase I Inhibitor (Recurrent GBM),DB00762,CCN1CCN(C(=O)OC2=CC3=C(C=C2)N=C4C5=C3CN4C(=O)C6(CC)C(O)=C(C(=O)OCC56)O)CC1,508.531,2.596,-4.677,10.7021,9,2,132.74,3,6,2,212.403,0.462,-5.531,-0.927,4.604,2.302,0.2172,3.229,-3.229,2.265,-4.252,-54.49418,-12.58569736
Etoposide,Topoisomerase II Inhibitor,DB00773,COc1cc(cc(OC)c1O)[C@@H]2c3cc4c(cc3[C@@H](O[C@H]5O[C@H]6CO[C@H](C)O[C@@H]6[C@H](O)[C@@H]5O)[C@H]7COC(=O)[C@@H]27)OCO4,588.562,1.339,-4.214,35.9717,13,3,160.83,5,7,2,240.229,0.552,-5.134,-0.301,4.834,2.417,0.2069,2.718,-2.718,1.528,-5.92,-60.51374,-14.56671448
Nimustine,Nitrosourea Alkylator (ACNU),DB00720,CC1=NC=C(CN)C(=C1)NC(=O)N(CCCl)N=O,271.708,1.603,-2.944,308.8472,5,2,100.68,5,1,1,109.255,0.4,-5.263,-1.069,4.194,2.097,0.2384,3.166,-3.166,2.389,-3.704,-42.8053,-11.4298756
Osimertinib,3rd-Gen EGFR/EGFRvIII TKI (BBB Penetrant),DB09330,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C)cc1Nc2nccc(n2)c3cn(C)c4ccccc34,499.619,4.51,-5.859,0.6916,7,2,87.55,10,4,4,216.94,0.25,-6.052,-1.632,4.42,2.21,0.2262,3.842,-3.842,3.339,-5.888,-57.2664,-14.365852799999999
Gefitinib,EGFR TKI,DB00317,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,446.91,4.276,-5.331,2.0833,7,1,68.74,8,4,3,184.642,0.364,-6.071,-1.51,4.561,2.281,0.2192,3.79,-3.79,3.15,-4.593,-52.27852,-12.811483039999999
Erlotinib,EGFR TKI,DB00530,COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC,393.443,3.405,-4.505,12.3119,7,1,74.73,10,3,3,169.532,0.273,-5.879,-1.353,4.526,2.263,0.2209,3.616,-3.616,2.889,-4.811,-51.37192,-12.98233984
