name,drug_class,drugbank_id,smiles,formal_charge,E_HOMO_eV,E_LUMO_eV,Gap_eV,Eta_eV,Mu_eV,Omega_eV,MolMR,MolWt,E_drug_Eh,vina_4ZAU_kcal_mol,vina_2J6M_kcal_mol,delta_Eint_Ti12C7O14_kcal_mol
Temozolomide,Alkylating Agent,DB00853,CN1C(=O)N2C(=NC1=O)N=NN2C(=O)N,0,-11.5376,-9.6645,1.8731,0.9365,-10.6011,59.998,45.264,211.14,-39.435613,-4.72,-5.07,-13.42
Lomustine,Nitrosourea Alkylator,DB01202,O=NN(CCCl)C(=O)NC1CCCCC1,0,-10.5919,-9.0867,1.5052,0.7526,-9.8393,64.3182,58.626,233.7,-48.819792,-5.07,-5.62,-12.971
Carmustine,Nitrosourea Alkylator,DB00262,O=NN(CCCl)C(=O)NCCCl,0,-11.3586,-9.5136,1.845,0.9225,-10.4361,59.031,47.34,214.05,-41.224144,-3.96,-4.03,-11.177
Nimustine,Nitrosourea Alkylator,DB04838,Cc1ncc(CN)c(n1)CNC(=O)N(CCCl)N=O,0,-10.3831,-9.2829,1.1002,0.5501,-9.833,87.8821,70.117,286.72,-52.599564,-5.03,-5.16,-6.709
Procarbazine,Hydrazine Alkylator,DB01168,CC(C)NC(=O)c1ccc(CNNC)cc1,0,-9.2155,-6.8133,2.4022,1.2011,-8.0144,26.7382,64.944,221.3,-48.182365,-6.25,-6.17,-8.975
Osimertinib,3rd Gen EGFR TKI,DB09330,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0,-9.228,-6.9662,2.2618,1.1309,-8.0971,28.9871,150.872,499.62,-105.398763,-7.63,-7.64,-1.723
Gefitinib,1st Gen EGFR TKI,DB00317,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0,-9.4046,-8.072,1.3326,0.6663,-8.7383,57.2999,118.154,446.91,-92.539227,-7.18,-8.01,155.96
Erlotinib,1st Gen EGFR TKI,DB00530,COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC,0,-9.8782,-7.7845,2.0937,1.0468,-8.8314,37.2512,111.94,393.44,-83.790578,-6.51,-6.8,-1.762
Lapatinib,Dual EGFR/HER2 TKI,DB01259,CS(=O)(=O)CCNCc1ccc(-c2ccc(Nc3ccc(OCc4cccc(F)c4Cl)c(Cl)c3)ncnc2)o1,0,-9.7068,-8.1276,1.5792,0.7896,-8.9172,50.3524,153.986,591.49,-115.492375,-6.38,-6.8,-9.786
Afatinib,2nd Gen EGFR TKI,DB08907,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,0,-9.6257,-8.0139,1.6118,0.8059,-8.8198,48.2621,130.406,485.95,-100.251695,-7.39,-7.8,-1.844
Dacomitinib,2nd Gen EGFR TKI,DB11963,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,0,-9.6366,-7.8895,1.7471,0.8735,-8.763,43.9534,128.843,469.95,-96.202281,-7.67,-8.27,-4.021
Brigatinib,Dual EGFR/ALK TKI,DB12457,COc1cc(Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)ccc1N1CCN(C)CC1,0,-9.1257,-7.1266,1.9991,0.9996,-8.1261,33.032,141.842,500.97,-99.516943,-7.62,-8.25,-4.345
Regorafenib,Multi-Kinase Inhibitor,DB08896,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,0,-10.5369,-7.7015,2.8354,1.4177,-9.1192,29.3291,113.197,482.82,-100.034015,-8.1,-8.48,-0.707
Sorafenib,Multi-Kinase Inhibitor,DB00398,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,0,-10.5055,-7.6344,2.8711,1.4355,-9.07,28.6524,113.239,464.83,-95.817362,-8.66,-8.4,-6.146
Sunitinib,Multi-Kinase Inhibitor,DB01268,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,0,-9.3205,-7.983,1.3375,0.6687,-8.6517,55.9647,113.289,398.48,-85.499167,-7.62,-7.26,-5.831
Cabozantinib,Multi-Kinase / MET TKI,DB08875,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OC,0,-9.8877,-7.4713,2.4164,1.2082,-8.6795,31.176,136.647,519.5,-110.259314,-8.29,-8.67,-9.201
