compound,angle_deg,convergence_status,E_opt_log,GradNorm_opt_log,E_replay_SP,GradNorm_replay_SP,Delta_E_Eh,Delta_E_kcal_mol,input_sha256,final_sha256,output_sha256,replay_status,is_selected_minimum
Temozolomide,0,CONVERGED,-133.917877358003,0.003651627844,-133.917877355398,0.003651076721,2.6050201995531097e-09,1.6346736204013723e-06,c8d02ed9da26da3f3276fc0749653dccc746f9a9a61d26216608af0efa84c128,1bf4a51696f815374a618422604b1c52da7332c576a822edca453f23861039fe,05eb11af9be12e439f4990f2735939db1ad9f2a630c34d0dd7acb40178082d90,PASS,True
Temozolomide,90,CONVERGED,-133.924520670165,0.003503722392,-133.676384143407,0.122326973938,0.24813652675800313,155.7079037693878,8d0b6b15acdf4efee0804fa5ad853b2a8abb1e099c9d9ae648da20a4253f7651,480044ecce0050934232cb1bf5b988d1993938f6328c2448f67b2e489566aa53,62e139546e5d5798f168cde0cd0f9220e4cb02dd18dfae035050a066561f9fa6,FAIL,False
Temozolomide,180,CONVERGED,-133.90518937152,0.001904615523,-133.905189372623,0.001900172719,-1.1029896995751187e-09,-6.921359633906832e-07,e5a18bad3028bf50efb7b90b4d274265d8ef112bf21d035b2a903e11d0881474,77333643b6b9ab354bdfaabce2ec5532cc2dfe0c0369420741e0b995a94ab490,debac9caa8d7a512921b8176f7ae8b0785a775b071e189ae37183bf1735460e6,PASS,False
Temozolomide,270,CONVERGED,-133.909558578772,0.004184180574,-133.90955858067,0.004183974697,-1.8980017557623796e-09,-1.1910131837566952e-06,aedf78c283c637c7d4100d48982fefe88ebf34ffc9be06e5cd10cf702b0e1fe5,9bca93c1eedaa738b5bfd3f650e253d3771c3574aec19c91198f43908de9c1a4,2987cbfca9af794a777d198eae8495c4353e0adaaa95868797feb0d6883b0fe4,PASS,False
Osimertinib,0,CONVERGED,-197.740922552606,0.00289613183,-197.740922535589,0.002889734386,1.7017015352394083e-08,1.0678330286765458e-05,b06d73e73c3bd569fb2467474e7d32b5e3761036e3a762df503b580ad60761ad,2fc83d0a97443266d7758287de6f1f449a6013b3f2e42623fce47c41324e7a2a,22dc8c68ebe39cc8fcb01bf986142fc648005529a4707971b17956138fe8bfa2,PASS,True
Osimertinib,90,CONVERGED,-197.43862375237,0.002973870163,-197.183156192324,0.094022803938,0.25546756004601434,160.3081931369144,f66bd80cc6c050796b1ca7a7c8900e6ff8c8168589450af3616b852f90cbb1de,c3880eac2598bac82d39348e138d0b52f41a5d26d4a3be1a6688d7d24d3297f3,bd58f9a732ca919742135346d9c4c233626d4180fe65fcd7d3708f4a805e27ed,FAIL,False
Osimertinib,180,NOT_CONVERGED,,,,,,,9aa811bc7d7e90bbc97c726329b3462b6ddbcfc308a7ab12a596c622352b1eb7,MISSING,d904d9af965bd8bbb586cccc37b17769892d3e13c46f3809e4ff397b48986545,NOT_CONVERGED,False
Osimertinib,270,NOT_CONVERGED,,,,,,,c0687dd9d2b640ae9aad6882581c0398ba3a343892b91ec120502b9054866f96,MISSING,e69ef069c4a4810b693feaa18dee31f74299cca1bb3a563f87ad6397dedb2c82,NOT_CONVERGED,False
Erlotinib,0,CONVERGED,-175.956395263116,0.003974395858,-175.956395241296,0.003974075443,2.1820000029038056e-08,1.3692246398221642e-05,3f79d3c4a0e669c3998305eb73a22f46e51fe6998abfb03f96c6a2c355f518fa,c434f72d13c659fb8a9f4bd78f1fff716ab089a536b7da7e6cece8cd8560881d,28bf6858502c32f58a496c7d0f3d4ce9cc785d47069babdf45aeb1de0a6f7e8f,PASS,False
Erlotinib,90,CONVERGED,-176.027053542474,0.002761147793,-176.02705354268,0.002760844886,-2.0600054995156825e-10,-1.2926719909955863e-07,2783f2779f9a7a8db534b7ba5daf841805f39a1287fb6f4ed145fdf9f7b73974,61b4eea6a34c2d9811c23f957073c86734fcf2b5f1529f5e2280b6c8dbe4178d,e7c61a2be06ba6a6ec58051a8645d8832cb1efb0ad7ccab37cb52230cd0d009d,PASS,True
