name,E_HOMO_real_eV,E_LUMO_real_eV
Abemaciclib,-9.0736,-7.839
Afatinib,-9.9755,-7.9611
Axitinib,-10.0245,-7.6396
Bortezomib,-9.8923,-8.1882
Brigatinib,-9.0491,-7.0924
Buparlisib,-10.2243,-7.9839
Cabozantinib,-10.0313,-7.6031
Carmustine,-11.3972,-9.7023
Cediranib,-9.3031,-8.0213
Cobimetinib,-10.2671,-7.6768
Dabrafenib,-10.6594,-8.3513
Dacomitinib,-9.4461,-7.907
Entrectinib,-9.4261,-7.6718
Erlotinib,-9.852,-7.7525
Everolimus,-9.641,-8.3906
Gefitinib,-9.6218,-7.9243
Lapatinib,-9.7557,-8.2996
Larotrectinib,-9.948,-8.0856
Lenvatinib,-10.3386,-8.1086
Lomustine,-10.7835,-9.2282
Marizomib,-10.4855,-6.9193
Nimustine,-10.3521,-9.3506
Osimertinib,-9.1301,-7.0355
Palbociclib,-9.3723,-7.605
Paxalisib,-9.6775,-7.5084
Pazopanib,-9.5264,-7.0035
Procarbazine,-9.1737,-6.9527
Regorafenib,-10.6126,-7.7794
Ribociclib,-9.4002,-7.2689
Selumetinib,-10.5943,-7.822
Sorafenib,-10.459,-7.6792
Sunitinib,-9.682,-7.9059
Temozolomide,-10.9383,-9.1444
Trametinib,-10.3515,-8.0219
Vorinostat,-10.4384,-6.5779
