compound,angle_deg,convergence_status,energy_Eh,gradient_norm,final_sha256,output_sha256,cycles,final_geometry_file
Temozolomide,0,CONVERGED,-133.917877358003,0.003651627844,1bf4a51696f815374a618422604b1c52da7332c576a822edca453f23861039fe,05eb11af9be12e439f4990f2735939db1ad9f2a630c34d0dd7acb40178082d90,200,calculations/gbm/Temozolomide/Temozolomide_orientation_0deg_final.xyz
Temozolomide,90,CONVERGED,-133.924520670165,0.003503722392,480044ecce0050934232cb1bf5b988d1993938f6328c2448f67b2e489566aa53,62e139546e5d5798f168cde0cd0f9220e4cb02dd18dfae035050a066561f9fa6,200,calculations/gbm/Temozolomide/Temozolomide_orientation_90deg_final.xyz
Temozolomide,180,CONVERGED,-133.90518937152,0.001904615523,77333643b6b9ab354bdfaabce2ec5532cc2dfe0c0369420741e0b995a94ab490,debac9caa8d7a512921b8176f7ae8b0785a775b071e189ae37183bf1735460e6,200,calculations/gbm/Temozolomide/Temozolomide_orientation_180deg_final.xyz
Temozolomide,270,CONVERGED,-133.909558578772,0.004184180574,9bca93c1eedaa738b5bfd3f650e253d3771c3574aec19c91198f43908de9c1a4,2987cbfca9af794a777d198eae8495c4353e0adaaa95868797feb0d6883b0fe4,200,calculations/gbm/Temozolomide/Temozolomide_orientation_270deg_final.xyz
Osimertinib,0,CONVERGED,-197.740922552606,0.00289613183,2fc83d0a97443266d7758287de6f1f449a6013b3f2e42623fce47c41324e7a2a,22dc8c68ebe39cc8fcb01bf986142fc648005529a4707971b17956138fe8bfa2,200,calculations/gbm/Osimertinib/Osimertinib_orientation_0deg_final.xyz
Osimertinib,90,CONVERGED,-197.43862375237,0.002973870163,c3880eac2598bac82d39348e138d0b52f41a5d26d4a3be1a6688d7d24d3297f3,bd58f9a732ca919742135346d9c4c233626d4180fe65fcd7d3708f4a805e27ed,200,calculations/gbm/Osimertinib/Osimertinib_orientation_90deg_final.xyz
Osimertinib,180,NOT_CONVERGED,,,MISSING,d904d9af965bd8bbb586cccc37b17769892d3e13c46f3809e4ff397b48986545,200,MISSING
Osimertinib,270,NOT_CONVERGED,,,MISSING,e69ef069c4a4810b693feaa18dee31f74299cca1bb3a563f87ad6397dedb2c82,200,MISSING
Erlotinib,0,CONVERGED,-175.956395263116,0.003974395858,c434f72d13c659fb8a9f4bd78f1fff716ab089a536b7da7e6cece8cd8560881d,28bf6858502c32f58a496c7d0f3d4ce9cc785d47069babdf45aeb1de0a6f7e8f,200,calculations/gbm/Erlotinib/Erlotinib_orientation_0deg_final.xyz
Erlotinib,90,CONVERGED,-176.027053542474,0.002761147793,61b4eea6a34c2d9811c23f957073c86734fcf2b5f1529f5e2280b6c8dbe4178d,e7c61a2be06ba6a6ec58051a8645d8832cb1efb0ad7ccab37cb52230cd0d009d,200,calculations/gbm/Erlotinib/Erlotinib_orientation_90deg_final.xyz
Erlotinib,180,CONVERGED,-175.958941845172,0.002452906737,694037eac84c771704393874a9b1ceeafdcf707a73424fadb2e0c04e7b3d28db,9243f06873f13e840867766fc80173b5537067b070600cbdaaa63f68dc4030f9,200,calculations/gbm/Erlotinib/Erlotinib_orientation_180deg_final.xyz
Erlotinib,270,CONVERGED,-175.989944193849,0.002442011996,cd7943fffeab0860dea5a87f43535f5da65db8c066358bbe734e5bb039106673,9581340d7421cdc26d93eb0ca307d15fc11318f2b7aa7fba0bef0715d7c159ff,200,calculations/gbm/Erlotinib/Erlotinib_orientation_270deg_final.xyz
Gefitinib,0,CONVERGED,-184.808852427339,0.003807387109,c9cb35d939f06462ce79f726aabe3a2d63994642e74f38a1420d4bee86419945,3ef5fb54a49b1481ad6f31abfd2d16fb79975d35352c8234e1c8e8d9ac006573,200,calculations/gbm/Gefitinib/Gefitinib_orientation_0deg_final.xyz
Gefitinib,90,CONVERGED,-184.756068851974,0.00190657891,aa7a20d70e58f2e57715d72ba719918cc2cd8eae3341a53922be8cb465253621,46467102d044652bb4966590d8151347c7336fe85e1a982d1b7d42304880bd09,200,calculations/gbm/Gefitinib/Gefitinib_orientation_90deg_final.xyz
