name,drug_class,drugbank_id,Real_Vina_Docking_Score_kcal_mol,Pose_File,Log_File
Temozolomide,Alkylating Agent (Gold Standard),DB00853,-3.712,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Temozolomide_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Temozolomide_vina.log
Procarbazine,Hydrazine Alkylator,DB00720,-4.059,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Procarbazine_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Procarbazine_vina.log
Carmustine,Nitrosourea Alkylator,DB00262,-3.323,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Carmustine_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Carmustine_vina.log
Lomustine,Nitrosourea Alkylator,DB01206,-3.848,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Lomustine_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Lomustine_vina.log
Nimustine,Nitrosourea Alkylator (ACNU),DB00720,-3.704,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Nimustine_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Nimustine_vina.log
Gefitinib,EGFR TKI,DB00317,-4.593,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Gefitinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Gefitinib_vina.log
Irinotecan,Topoisomerase I Inhibitor (Recurrent GBM),DB00762,-4.252,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Irinotecan_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Irinotecan_vina.log
Osimertinib,3rd-Gen EGFR/EGFRvIII TKI (BBB Penetrant),DB09330,-5.888,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Osimertinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Osimertinib_vina.log
Etoposide,Topoisomerase II Inhibitor,DB00773,-5.92,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Etoposide_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Etoposide_vina.log
Erlotinib,EGFR TKI,DB00530,-4.811,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Erlotinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Erlotinib_vina.log
Dacomitinib,2nd-Gen EGFR TKI,DB11964,-5.857,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Dacomitinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Dacomitinib_vina.log
Afatinib,Pan-ErbB/EGFR TKI,DB08907,-5.467,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Afatinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Afatinib_vina.log
Brigatinib,ALK/EGFR TKI,DB12457,-6.022,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Brigatinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Brigatinib_vina.log
Regorafenib,Multikinase TKI (Recurrent GBM),DB08896,-6.207,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Regorafenib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Regorafenib_vina.log
Cediranib,Pan-VEGFR/PDGFR TKI,DB06692,-5.828,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Cediranib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Cediranib_vina.log
Lenvatinib,VEGFR/FGFR TKI,DB09078,-5.49,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Lenvatinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Lenvatinib_vina.log
Sunitinib,VEGFR/PDGFR TKI,DB01268,-5.69,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Sunitinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Sunitinib_vina.log
Sorafenib,RAF/VEGFR TKI,DB00398,-6.395,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Sorafenib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Sorafenib_vina.log
Axitinib,Selective VEGFR TKI,DB06626,-5.939,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Axitinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Axitinib_vina.log
Pazopanib,VEGFR TKI,DB06589,-6.081,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Pazopanib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Pazopanib_vina.log
Selumetinib,MEK1/2 Inhibitor,DB11640,-5.1,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Selumetinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Selumetinib_vina.log
Trametinib,MEK1/2 Inhibitor,DB08911,-5.659,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Trametinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Trametinib_vina.log
